,geneSymbol,moduleColor,GS.morphology,p.GS.morphology,MM.blue,p.MM.blue,MM.turquoise,p.MM.turquoise,MM.grey,p.MM.grey
hsa-mir-1303,hsa-mir-1303,grey,0.073410319,0.362427092,-0.042365699,0.59949449,0.001563982,0.984540332,-0.041217195,0.609435454
hsa-mir-1285-1,hsa-mir-1285-1,grey,0.073410319,0.362427092,-0.083766499,0.298499154,-0.046780209,0.561979947,-0.005296926,0.947674828
hsa-mir-1260,hsa-mir-1260,grey,-0.07339753,0.362510938,0.020673557,0.797824711,0.043709278,0.587958281,-0.027789786,0.730568554
hsa-mir-519a-2,hsa-mir-519a-2,grey,0.072342275,0.369471124,0.065836363,0.414174782,0.208255449,0.009084471,0.604306504,6.69E-17
hsa-mir-142,hsa-mir-142,grey,-0.071966143,0.371971742,0.105279455,0.190872409,0.203671829,0.010766426,0.394582931,3.45E-07
hsa-mir-196a-1,hsa-mir-196a-1,grey,0.071724485,0.373583815,-0.069457381,0.388915107,0.103502323,0.198511837,0.169181797,0.034743988
hsa-mir-578,hsa-mir-578,grey,0.071174971,0.377265465,0.229012722,0.004031547,0.130530509,0.104339475,-0.045053043,0.576523211
hsa-mir-150,hsa-mir-150,grey,0.070912435,0.379032205,0.126228252,0.116369055,0.225449704,0.004658523,0.122641028,0.127201704
hsa-mir-548d-1,hsa-mir-548d-1,grey,0.070653924,0.380776778,-0.001170326,0.988431234,0.027433243,0.733894642,0.132688716,0.098684975
hsa-mir-3690,hsa-mir-3690,grey,-0.070450075,0.382155896,0.152097596,0.058031078,0.279717398,0.000405571,0.259753611,0.001058027
hsa-mir-3919,hsa-mir-3919,grey,0.070279167,0.383314491,0.077084492,0.338836942,0.183715526,0.021691466,0.050897794,0.528034191
hsa-mir-3618,hsa-mir-3618,grey,-0.070222016,0.383702394,-0.097518063,0.225859654,-0.020581068,0.798709905,-0.05729256,0.477448327
hsa-mir-1912,hsa-mir-1912,grey,-0.06984732,0.386251478,0.256555054,0.001225464,0.042741846,0.596254606,0.021655041,0.788447178
hsa-mir-586,hsa-mir-586,grey,-0.06984732,0.386251478,-0.033359007,0.679300379,-0.00101397,0.989976738,-0.051902143,0.519914085
hsa-mir-3916,hsa-mir-3916,grey,-0.06984732,0.386251478,-0.00070812,0.993000021,-0.068768726,0.393646186,-0.050716032,0.529510535
hsa-mir-28,hsa-mir-28,grey,-0.069671396,0.387451825,0.123872496,0.123398623,0.405967534,1.46E-07,0.238194096,0.002750422
hsa-mir-1307,hsa-mir-1307,grey,-0.068594328,0.394849763,0.211922132,0.007910771,0.454728564,2.47E-09,0.437701204,1.10E-08
hsa-mir-489,hsa-mir-489,grey,0.068507985,0.395446455,0.266105399,0.00078601,0.157040092,0.050251074,0.156831495,0.050560971
hsa-mir-3657,hsa-mir-3657,grey,0.068438244,0.395928807,-0.125822274,0.117557755,-0.143138756,0.074648994,-0.014431127,0.858091281
hsa-mir-3658,hsa-mir-3658,grey,0.068438244,0.395928807,-0.042028995,0.602401319,-0.051407622,0.523904279,-0.032522415,0.686915431
hsa-mir-518b,hsa-mir-518b,grey,0.068272501,0.397076561,0.132798339,0.09840436,0.224599975,0.004820395,0.761421356,8.57E-31
hsa-mir-92a-2,hsa-mir-92a-2,grey,-0.068137154,0.398015295,0.251732924,0.001524041,0.331199611,2.41E-05,0.207894736,0.009207862
hsa-mir-513c,hsa-mir-513c,grey,-0.068059324,0.398555708,0.101018367,0.209557159,0.107074501,0.183375799,-0.006171754,0.939048404
hsa-mir-3691,hsa-mir-3691,grey,0.067760583,0.400634067,0.017021176,0.832965379,0.189750644,0.017667193,0.017960145,0.82389667
hsa-mir-320b-2,hsa-mir-320b-2,grey,-0.067487148,0.402542008,0.166246522,0.038063037,0.354327797,5.68E-06,0.138951735,0.083639017
hsa-mir-3676,hsa-mir-3676,grey,-0.067343352,0.40354753,-0.007576231,0.925214495,-0.012608494,0.875859839,0.157629564,0.049383852
hsa-mir-3136,hsa-mir-3136,grey,0.067311733,0.403768833,-0.015419152,0.848488271,0.06862728,0.394622182,0.218744384,0.006079743
hsa-mir-1286,hsa-mir-1286,grey,-0.066825852,0.407178566,0.044805191,0.578624535,0.175216707,0.028683503,0.028709745,0.722009795
